demographic,very_important,somewhat_important,not_that_important,not_important_at_all,dont_know_no_opinion,total_n
Educ: < College, 15% (228), 29% (443), 14% (210), 11% (172), 30% (460),1513
Educ: Bachelors degree, 22% (96), 33% (148), 18% (80), 11% (47), 16% (72),444
Educ: Post-grad, 19% (48), 34% (83), 16% (40), 13% (32), 17% (42),244
Adults, 17% (371), 31% (674), 15% (330), 11% (252), 26% (574),2201
Income: Under 50k, 15% (190), 28% (345), 15% (182), 12% (150), 30% (375),1241
Income: 50k-100k, 17% (119), 34% (236), 17% (114), 11% (73), 22% (150),692
Income: 100k+, 23% (63), 35% (93), 12% (33), 11% (29), 19% (50),268
Ethnicity: White, 18% (315), 32% (546), 13% (216), 9% (163), 28% (482),1723
Ethnicity: Hispanic, 11% (38), 31% (108), 23% (81), 14% (50), 21% (73),350
Ethnicity: Afr. Am., 14% (37), 29% (80), 27% (75), 17% (46), 13% (36),274
Ethnicity: Other, 9% (19), 24% (49), 19% (38), 21% (43), 27% (55),204
Relig: Protestant, 17% (78), 34% (160), 14% (68), 13% (62), 22% (103),470
Relig: Roman Catholic, 14% (57), 35% (140), 18% (73), 12% (50), 20% (80),400
Relig: Ath./Agn./None, 18% (133), 26% (191), 15% (112), 9% (68), 32% (238),742
Relig: Something Else, 19% (63), 33% (108), 11% (36), 11% (37), 25% (84),328
Relig: Jewish, 18% (9), 51% (26), 8% (4), 6% (3), 18% (9),51
Relig: Evangelical, 16% (89), 30% (165), 17% (95), 12% (68), 24% (132),549
Relig: Non-Evang. Catholics, 15% (87), 36% (209), 15% (87), 14% (79), 21% (121),582
Relig: All Christian, 16% (176), 33% (374), 16% (181), 13% (147), 22% (253),1131
Relig: All Non-Christian, 18% (196), 28% (300), 14% (148), 10% (105), 30% (321),1070
Community: Urban, 17% (89), 29% (155), 20% (107), 12% (63), 22% (115),529
Community: Suburban, 18% (191), 33% (347), 14% (145), 11% (118), 23% (245),1046
Community: Rural, 15% (91), 27% (172), 12% (78), 11% (71), 34% (214),626
Employ: Private Sector, 19% (116), 37% (221), 15% (93), 9% (54), 19% (116),600
Employ: Government, 24% (33), 29% (41), 19% (27), 12% (17), 15% (22),140
Employ: Self-Employed, 15% (31), 34% (70), 20% (41), 10% (20), 21% (44),206
Employ: Homemaker, 17% (26), 27% (41), 11% (16), 7% (10), 38% (57),150
Employ: Student, 23% (30), 35% (47), 12% (16), 8% (11), 21% (28),132
Employ: Retired, 12% (65), 28% (148), 14% (75), 16% (87), 29% (152),527
Employ: Unemployed, 14% (35), 24% (60), 15% (38), 12% (31), 35% (89),252
Employ: Other, 18% (35), 24% (46), 12% (24), 11% (22), 34% (67),195
Military HH: Yes, 15% (57), 31% (119), 16% (60), 15% (57), 24% (92),385
Military HH: No, 17% (315), 31% (555), 15% (270), 11% (195), 27% (482),1816
Adults, 17% (371), 31% (674), 15% (330), 11% (252), 26% (574),2201
RD/WT: Right Direction, 14% (112), 30% (235), 15% (114), 11% (86), 30% (229),777
RD/WT: Wrong Track, 18% (259), 31% (439), 15% (216), 12% (166), 24% (345),1424
Trump Job Approve, 15% (132), 30% (255), 14% (118), 12% (99), 30% (254),858
Trump Job Disapprove, 19% (230), 32% (390), 17% (207), 12% (145), 20% (242),1214
Trump Job Strongly Approve, 15% (68), 25% (116), 13% (61), 13% (60), 33% (152),458
Trump Job Somewhat Approve, 16% (64), 35% (139), 14% (57), 10% (38), 26% (102),400
Trump Job Somewhat Disapprove, 18% (51), 31% (88), 19% (54), 11% (30), 21% (59),282
Trump Job Strongly Disapprove, 19% (179), 32% (301), 16% (153), 12% (115), 20% (183),931
Favorable of Trump, 16% (136), 30% (258), 13% (110), 12% (100), 29% (251),855
Unfavorable of Trump, 19% (221), 33% (391), 17% (203), 11% (137), 20% (242),1194
Very Favorable of Trump, 15% (74), 26% (123), 13% (62), 13% (61), 33% (159),479
Somewhat Favorable of Trump, 16% (62), 36% (135), 13% (48), 11% (40), 24% (91),376
Somewhat Unfavorable of Trump, 16% (30), 35% (67), 15% (29), 10% (20), 24% (46),190
Very Unfavorable of Trump, 19% (191), 32% (324), 17% (175), 12% (117), 20% (197),1004
#1 Issue: Economy, 19% (101), 30% (162), 16% (87), 10% (54), 25% (138),542
#1 Issue: Security, 13% (58), 29% (126), 14% (60), 14% (60), 30% (127),431
#1 Issue: Health Care, 17% (62), 32% (116), 19% (69), 10% (37), 21% (76),360
#1 Issue: Medicare / Social Security, 11% (37), 29% (95), 14% (47), 12% (41), 33% (110),329
#1 Issue: Women’s Issues, 22% (26), 38% (45), 12% (14), 13% (15), 16% (19),119
#1 Issue: Education, 19% (29), 30% (46), 17% (25), 13% (20), 21% (32),153
#1 Issue: Energy, 29% (35), 36% (43), 12% (15), 8% (9), 16% (19),121
#1 Issue: Other, 16% (23), 28% (40), 8% (12), 11% (16), 37% (53),146
2018 House Vote: Democrat, 20% (163), 33% (271), 18% (143), 12% (95), 17% (142),813
2018 House Vote: Republican, 16% (107), 28% (184), 15% (98), 13% (86), 28% (184),658
2018 House Vote: Someone else, 6% (7), 30% (35), 12% (14), 14% (16), 39% (45),117
2018 House Vote: Didnt Vote, 15% (94), 30% (179), 12% (74), 9% (56), 34% (203),606
2016 Vote: Hillary Clinton, 19% (130), 35% (245), 18% (128), 11% (79), 17% (120),702
2016 Vote: Donald Trump, 14% (94), 30% (195), 14% (92), 12% (81), 29% (192),654
2016 Vote: Someone else, 18% (34), 26% (51), 12% (23), 11% (22), 33% (63),193
2016 Vote: Didnt Vote, 17% (113), 28% (182), 13% (87), 11% (69), 30% (198),650
Adults, 17% (371), 31% (674), 15% (330), 11% (252), 26% (574),2201
Voted in 2014: Yes, 17% (226), 32% (425), 16% (217), 11% (153), 23% (308),1329
Voted in 2014: No, 17% (145), 29% (249), 13% (113), 11% (100), 31% (266),872
2012 Vote: Barack Obama, 19% (152), 34% (280), 17% (140), 12% (94), 18% (148),814
2012 Vote: Mitt Romney, 15% (76), 31% (158), 13% (67), 12% (60), 28% (142),502
2012 Vote: Other, 18% (19), 22% (24), 21% (23), 12% (13), 29% (32),111
2012 Vote: Didn’t Vote, 16% (124), 27% (212), 13% (100), 11% (84), 33% (253),772
4-Region: Northeast, 17% (67), 31% (123), 13% (52), 10% (40), 28% (112),394
4-Region: Midwest, 14% (66), 36% (165), 14% (65), 10% (44), 26% (122),462
4-Region: South, 17% (138), 27% (225), 17% (136), 13% (106), 27% (219),825
4-Region: West, 19% (101), 31% (161), 15% (76), 12% (61), 23% (121),520
